resp_id,aes_canton,aes_langreg,t0sex,t0fmedu_comp,t0immig,t1bqvalids,t2bqvalids,t3bqvalids,t1wt,t2wt,t3wt,t0hisei08_3q,t0wlem_3q,t0st_nprog_req3,t1educ_class_1_r,t2educ_class_1_r,t3educ_class_1_r
1011513,12,1,1,0,2,1,1,1,5.95308661710401,5.949313725749301,5.19158195087955,1,2,2,3,9,9
1011514,16,1,1,1,1,1,1,1,68.43601443295969,76.92767338205022,87.61486209200032,1,2,2,6,6,6
1011516,2,2,2,1,1,1,1,1,5.404062192348142,5.223869012215427,5.974495107121429,1,1,3,3,6,6
1011524,1,1,1,2,1,1,1,1,18.79601477444739,21.17080256579542,17.59329279907654,3,3,1,8,8,8
1011526,12,1,1,2,3,1,1,1,4.292183657898082,4.389447214112604,4.043293711853656,2,2,1,8,8,1
1011528,17,1,2,0,1,1,1,0,25.60161002114893,13.15967584225835,,2,1,2,6,6,
1011529,22,2,2,1,1,1,1,1,29.65006945131953,30.72160121022152,32.81907646039219,1,3,1,6,6,6
1011534,18,1,2,1,1,1,1,1,1.847843140670834,1.917223717973109,1.814686711614796,2,3,1,8,8,8
1011535,19,1,1,2,1,1,1,1,15.73001125796737,15.08335071008436,12.61139682508695,1,2,1,6,6,6
1011536,25,2,2,,2,1,1,1,18.4450049025817,17.15639070146524,14.06674778491267,2,2,1,8,8,8
1011540,25,2,1,2,1,1,1,1,12.58591692200847,11.37239331436199,12.34114798331064,3,2,1,8,8,8
1011542,10,2,1,1,1,0,0,1,,,17.9895424994357,2,2,2,,,6
1011547,1,1,2,2,1,1,1,1,68.43601443295969,78.28011695185948,84.1035691731076,2,1,3,5,5,6
1011548,2,1,1,1,2,0,0,1,,,94.63199784635333,1,1,3,,,6
1011552,2,1,1,1,1,1,1,1,5.169491087831091,5.138986120872746,5.177793781848423,2,1,3,6,6,6
1011554,16,1,2,2,1,1,1,1,2.657347615340789,2.491640069128257,4.040697157868023,3,3,2,6,6,6
1011555,9,1,2,2,1,1,1,1,6.314300918786985,6.385706527521409,6.894399954821748,3,2,2,3,6,6
1011558,23,2,1,2,1,1,1,1,.6037119212318314,.5738500678951167,.631363322545338,3,3,1,8,8,8
1011564,3,1,1,0,3,1,1,1,3.490849989136479,2.461533939085879,3.389363128105116,1,1,3,5,5,1
1011566,22,2,2,1,1,1,1,1,20.40930113270904,18.18410918624847,23.06721326556806,1,3,2,6,6,6
1011570,16,1,1,1,1,1,1,0,1.538898401214418,1.814440716536991,,2,3,1,8,8,
1011575,21,3,1,1,2,1,1,1,4.829194985880587,4.369575638010338,4.037597708907124,1,1,3,6,6,6
1011577,26,2,1,2,1,1,0,0,7.303915646352721,,,3,1,2,1,,
1011582,21,3,1,,1,0,0,1,,,36.32226312237756,3,1,3,,,1
1011583,5,1,1,1,2,1,1,0,5.236754406543436,5.039063325430197,,1,1,2,9,9,
1011585,19,1,1,1,1,1,1,0,6.118187664639564,6.058359890043064,,3,1,2,6,6,
1011586,22,2,1,2,1,1,1,1,16.72396700482106,14.27707522843179,15.52210177116257,3,2,2,3,9,9
1011587,2,2,1,2,1,1,1,1,.6419589161225794,.7981443106471485,.9508148942762764,2,3,2,6,6,6
1011588,2,1,1,2,1,1,1,1,19.95577334694932,18.89835038889281,20.82864506594079,2,3,1,8,8,8
1011589,13,1,1,2,1,1,1,1,8.141365704402091,6.032404774345248,7.745478209532634,3,2,2,9,9,9
1011591,19,1,1,1,2,1,1,1,32.34205403046338,39.71674979365682,36.8353630523558,2,1,3,4,6,6
1011593,21,3,1,2,1,1,1,1,2.44040875498477,2.266603860631066,2.900707526908609,2,1,1,2,7,7
1011596,7,1,1,2,3,1,1,1,1.269701852005665,1.109550702806248,1.372333096569105,2,3,1,8,8,8
1011600,5,1,1,1,1,1,1,1,8.957050209345301,8.287723137335101,9.347203987952337,1,1,3,3,6,1
1011603,3,1,2,1,1,1,1,1,3.896796986599578,2.946808172502668,4.766192574024536,2,2,3,6,6,1
1011606,10,1,1,1,1,1,1,1,2.052228350637364,1.992528136597776,2.019667400225986,2,2,2,8,8,8
1011608,12,1,2,1,3,1,1,1,21.02751617424438,12.86369558155501,15.74491471951478,3,2,2,9,9,1
1011610,8,1,2,1,2,1,1,1,.039104003478157,.0757988010648675,.4038561793192839,1,3,2,8,8,8
1011612,17,1,1,1,1,0,1,1,,13.20963646324168,3.367311248236733,1,1,3,,6,6
1011614,2,1,2,2,1,1,1,1,43.1539623193258,37.21312058564207,41.32414666397411,2,2,1,8,8,8
1011616,17,1,2,1,1,1,1,1,8.982936817925637,8.375797889305037,8.305811275583061,2,3,1,8,8,8
1011618,21,3,1,,1,1,1,1,13.08482131007663,10.575714075005,9.959283666416246,1,3,1,6,7,7
1011620,22,2,2,1,1,1,1,1,18.73210121866741,16.10062900016724,18.08143730573341,2,2,2,6,6,6
1011623,11,1,2,1,1,1,1,1,7.443471079596327,7.408272265208511,6.82929896332019,2,3,2,6,6,6
1011625,3,1,1,1,1,1,1,1,2.654503644433122,2.625967124085772,3.509799379075818,3,1,2,4,6,6
1011626,20,1,1,2,1,1,1,0,6.766972177274298,7.158745127637568,,2,2,2,6,6,
1011637,17,1,1,0,2,1,0,0,.0911494900640414,,,1,2,3,6,,
1011638,3,1,1,1,1,1,1,1,21.34719109044019,19.40854745237676,25.17273793303795,1,1,3,3,6,6
1011644,1,1,2,2,3,1,1,1,37.79049579609394,28.55995366037986,69.18875655192815,2,1,3,4,1,1
1011647,13,1,2,1,3,1,0,0,62.74930794804943,,,1,1,3,3,,
1011652,20,1,2,2,1,1,0,1,3.833843572895302,,10.75527302788261,3,3,2,6,,6
1011654,17,1,2,1,1,1,1,1,3.991938961900343,3.143627990094507,4.608911851050825,2,3,2,7,7,7
1011655,25,2,2,2,2,1,1,1,13.75902250233012,12.75671768732347,14.51445450866236,2,3,1,8,8,8
1011656,20,1,2,2,1,1,1,0,10.77947755579727,10.75604980073149,,2,,2,6,6,
1011658,13,1,1,2,1,1,1,1,6.592109081928937,5.463624170784128,5.962801139070852,3,1,2,6,6,6
1011660,24,2,1,0,2,1,1,1,4.614197043431147,5.174345383728749,4.671808484211034,1,1,2,7,7,7
1011668,15,1,2,2,3,1,1,1,.8142823895848896,.5935295926727199,.6964945749640239,3,2,2,3,8,8
